,Title,Year,Director,Production,Studio,Genre,Award
7037,I'd Rather be Rich,1964,Smight,PN:Ross Hunt,U-I,"Romantic,Comedy",H*
7038,No Way to Treat a Lady,1968,Smight,S.C.Siegel,Paramount-I,"Suspense,Noir",H*
7039,Tm:The Secret War of Harry Frigg,1968,Smight,PN:Hal E. Chester,Universal,Advt,H
7040,The Travelling Executioner,1970,Smight,PN:,MGM,Porn,aw
7041,Double Indemnity,1973,Smight,,TV,Drama,
7042,Airport 75,1974,Smight,J.Lang,Universal,Actn,"H, W50"
7043,Midway,1976,Smight,PN:Walter Mirisch,Universal,Actn,H*
7044,Tm:Fastbreak,1979,Smight,PN:,SU:,CTxx,aw
7045,Tm:Loving Couples,1981,Smight,PN:Renee Valente,TimeLife,Romantic,H
7046,Pouic-Pouic,1963,Girault,PN:,SU:,"Comedy,Romantic",aw
7047,Sparrows Can't Sing,1963,Littlewood,PN:,SU:,Ctxx,aw
7048,"I'll Be The Judge, I'll Be The Jury",1963,JSheldon,Hitchcock,"Shamley, CBS",Suspense,Mexico
7049,Promises! Promises!,1963,D.F.Taylor,"PN:Tommy Noonan, D.F.Taylor",NDT,Comedy,aw
7050,The Lizards,1963,Wertmuller,PN:,SU:,Ctxx,aw
7051,The Seduction of Mimi,1972,Wertmuller,PN:,SU:,Ctxx,aw
7052,Love and Anarchy,1973,Wertmuller,PN:,SU:,Ctxx,aw
7053,All Screwed Up,1974,Wertmuller,PN:,SU:,"Comedy,Drama",
7054,Swept Away,1975,Wertmuller,PN:,SU:,Drama,
7055,Seven Beauties,1976,Wertmuller,Wertmuller,Cinema 5,Drama,Z*
7056,Blood Feud,1980,Wertmuller,,SU:,,
7057,Summer Night,1987,Wertmuller,PN:,SU:,Ctxx,aw
7058,"Saturday, Sunday, and Monday",1990,Wertmuller,PN:Carlo Ponti,SU:,Ctxx,aw
7059,"Ciao, professore",1994,Wertmuller,PN:,SU:,Drama,aw
7060,The Sorrow and the Pity,1969,M.Ophuls,PN:,SU:,Ctxx,aw
7061,Fourty Pounds of Trouble,1963,Jewison,PN:,SU:,CTxx,
7062,The Cincinnati Kid,1965,Jewison,PN:,SU:,West,
7063,"The Russians are Coming, the Russians are Coming",1966,Jewison,Jewison,SU:,Ctxx,aw
7064,In the Heat of the Night,1967,Jewison,"PN:Walter Mirrisch, Jewison",U.A.,"Suspense, Comedy","H**, AA"
7065,The Thomas Crown Affair,1968,Jewison,"Mirisch, Jewison",U.A.,Myst,H**
7066,Fiddler on the Roof,1971,Jewison,Jewison,U.A.,Musical,"H**, AAN, AAN dir"
7067,Jesus Christ Superstar,1973,Jewison,PN:,SU:,Ctxx,aw
7068,Rollerball,1975,Jewison,Jewison,U.A.,Actn,H*
7069,Tm:F.I.S.T.,1978,Jewison,PN:,SU:,CTxx,aw
7070,And Justice for All,1979,Jewison,PN:,SU:,Ctxx,aw
7071,Best Friends,1982,Jewison,PN:Joe Wizan,Warners,,H*
7072,Agnes of God,1985,Jewison,"PN:Patrick Palmer, Jewison",Columbia,Drama,H*
7073,Moonstruck,1987,Jewison,PN:,MGM,Romantic,F90
7074,Other People's Money,1991,Jewison,Jewison,Warners,Comedy,
7075,A Soldier's Story,1991,Jewison,PN:,SU:,Drama,
7076,The Three Stooges Go Around the World in A Daze,1963,Maurer,maurer,Columbia,Comedy,aw
7077,Allegro Ma Troppo,1963,deRoubais,PN:,Films je Vois Tout,Documentary,aw
7078,Tm:White Dawn,1975,Ph.Kaufman,Ransohoff,Paramount,Drama,H
7079,The Invasion of the Body Snatchers,1978,Ph.Kaufman,Wanger,U.A.,Horror,
7080,Tm:The Wanderers,1980,Ph.Kaufman,PN:,PSO,Actn,H
7081,The Right Stuff,1983,Ph.Kaufman,"I.Winkler, Chartoff",Warners,Bio-Pic,"AAN, H*"
7082,The Unbearable Lightness of Being,1987,Ph.Kaufman,PN:,SU:,Drama,
7083,Henry and June,1990,Ph.Kaufman,PN:Peter Kaufman,Universal,Bio-Pic,
7084,Rising Sun,1993,Ph.Kaufman,PN:,SU:,"Suspense,RomCom",
7085,Stop Train 349,199x,Haedrich,"PN:Hans Oppenheimer, Ray Ventura",S:Da Ma,Suspense,
7086,The Long Silence,1963,R.Douglas,Hitchcock,"Shamley, CBS",Suspense,
7087,You'll Be the Death of Me,1963,R.Douglas,Hitchcock,"Shamley, CBS",Suspense,
7088,Behind the Locked Door,1964,R.Douglas,Hitchcock,"Shamley, CBS",Suspense,
7089,Sign of Satan,1964,R.Douglas,Hitchcock,"Shamley, CBS",Suspense,
7090,The Incredible Strange Creatures Who Stopped Living and Became Mixed-Up Zombies,1963,Steckler,PN:,SU:,"Horror,Musical",aw
7091,The Thrill Killers,1965,Steckler,PN:,SU:,Horror,aw
7092,The Waltz King,1963,Previn,PN:Peter V. Herald,Disney,Musical,H
7093,Tm:Day of the Triffids,1963,Sekely,PN:George Pitcher,SL:\GB,ScFi,(H*)
7094,Dr. Who: An Unearthly Child,1963,W.Hussein,PU:,SL:\GB,ScFi,aw
7095,Tm:Quackser Fortune Has a Cousin in the Bronx,1970,W.Hussein,PN:John H. Cummingham,UMC,Comedy,H*
7096,Henry VIII and His Six Wives,1972,W.Hussein,Roy Bard,EMI,Bio-Pic,H*
7097,The Henderson Monster,1980,W.Hussein,PU:,S:USA home,"Suspense, Romantic",aw
7098,Copacabana,1985,W.Hussein,PU:,SU:,"Omd, Romantic",aw
7099,The Summer House,1993,W.Hussein,PN:,SU:,Drama,
7100,Kidnapped,1995,W.Hussein,PU:,SU:,Drama,
7101,A Private Function,1984,A.Bennett,PN:Mark Shivas,Handmade,Comedy,H**
7102,The Adventures of Scaramouche,1964,Isasmendi,PN:,S:Capitole,"Actn, Romantic",aw
7103,They Came to Rob Las Vegas,1969,Isasmendi,PN:,S:Capitole,Actn,aw
7104,The Visit,1964,Wicki,"PN:Julien Derode, Anthony Quinn","Fox, Cinecitta",Drama,H
7105,"The Saboteur, Code Name Morituri",1965,Wicki,PN:Aaron Rosenberg,"Fox, Arcola",Drama,H*
7106,Le Vieil Homme et l'Enfant,1967,Cl.Berri,PN:,SU:,Ctxx,aw
7107,Jean de Florette,1988,Cl.Berri,PN:,Rene Prod.,Drama,
7108,Manon des Sources,1988,Cl.Berri,PN:,Rene Prod.,Drama,
7109,Germinal,1994,Cl.Berri,PN:,Sony,Drama,
7110,Who needs an Enemy?,1964,H.Morgan,Hitchcock,"Shamley, CBS",Suspense,
7111,The World's Oldest Motive,1965,H.Morgan,Hitchcock,"Shamley, CBS",Suspense,
7112,Two Thousand Maniacs,1964,H.G.Lewis,PN:David Friedman,Box Office Spectaculars,Horror,aw
7113,Tm:She-Devils on Wheels,1968,H.G.Lewis,PN:,SU:,CTxx,aw
7114,"Tarzan, the Ape Man",1981,Derek,PN:,MGM,"Advt,Porn",aw
7115,Fantasies,1981,Derek,PN:,SU:,Ctxx,aw
7116,Greystoke,1983,Derek,PN:,MGM,"Advt,Porn",aw
7117,Bolero,1984,Derek,PN:Bo Derek,Cannon,Porn,H
7118,Tarzan in Manhattan,1989,Derek,PN:,Buena Vista,Advt,aw
7119,Ghosts Can't Do It,1990,Derek,PN:,SU:,"Comedy,Porn",aw
7120,Born to Win,1971,Passer,PN:,SU:,H,lc
7121,Law and Disorder,1974,Passer,PN:,SU:,Ctxx,aw
7122,Crime and Passion,1976,Passer,PN:,SU:,H0,
7123,Tm:Silver Bears,1978,Passer,PN:Martin Schute,EMI,Comedy,H
7124,Tm:Cutter's Way,1981,Passer,PN:,SU:,CTxx,aw
7125,Stalin,1992,Passer,PN:Mark Carliner,HBO,Bio-Pic,
7126,Bad Company,1969,Eustache,PN:,SU:,Romantic,
7127,La Maman et La Putaine,1973,Eustache,PN:,SU:,"Drama,Noir",aw
7128,A Man Named Gannon,1964,Goldstone,PN:,Universal,West,H
7129,Winning,1969,Goldstone,PN:John Foreman,Universal,"Drama,Actn",H*
7130,The Gang That Couldn't Shoot Straight,1976,Goldstone,PN:,SU:,Comedy,
7131,Rollercoaster,1977,Goldstone,PN:Jennings Lang,S:Universal,Actn,H
7132,Tm:Rita Hayworth: The Love Goddess,1983,Goldstone,PN:,SU:,Bio-Pic,aw
7133,Women in Love,1969,K.Russell,PN:Larry Kramer,U.A.,Romantic,AANdir H***
7134,The Music Lovers,1970,K.Russell,PN:,SU:,Ctxx,aw
7135,The Devils,1971,K.Russell,PN:Robert H. Solo,Warners,"Horror, Porn",(H*)
7136,The Boyfriend,1971,K.Russell,PN:K.Russell,MGM,Musical,aw
7137,Mahler,1974,K.Russell,PN:,SU:,Bio-Pic,aw
7138,Tommy,1975,K.Russell,PN:,SU:,Musical,aw
7139,Lisztomania,1975,K.Russell,PN:Roy Baird,David Puttnam,"Bio-Pic,Musical,Porn",H
7140,Valentino,1977,K.Russell,PN:Harry Benn,U.A.,"Fant,Bio-Pic",H*
7141,Altered States,1980,K.Russell,PN:,SU:,CTxx,aw
7142,Crimes of Passion,1984,K.Russell,PN:,SU:,CTxx,aw
7143,Gothic,1987,K.Russel,PN:,SU:,Ctxx,aw
7144,The Lair of the White Worm,1988,K.Russel,PN:,SU:,Comedy,aw
7145,Salome's Last Dance,1988,K.Russell,PN:,SU:,CTxx,aw
7146,Rainbow,1989,K.Russell,K.Russell,"Vestron, Swank",Drama,(RE***)
7147,Rainbow,1989,K.Russell,K.Russell,"Vestron, Swank",Drama,(RE***)
7148,"Women and Men, Stories of Seduction",1989,Russel,PN:,HBO,Romantic,
7149,Whore,1991,Russel,PN:,SU:,CTxx,
7150,Prisoner of Honor,1991,Russel,"PN:Judith Rutherford James, Richard Dreyfuss",HBO,Historic,
7151,The Insatiable Mrs.~Kirsch,1994,Russel,PN:Ronald Vasconcellos,Ziegler,Romantic,
7152,Anyone for Murder?,1964,L.Penn,Hitchcock,"Shamley, CBS",Suspense,
7153,Cronica de un Nino Solo,1964,Favio,PN:,SU:,Drama,aw
7154,S\~ao Bernardo,1973,Hirszman,PN:,SU:,Drama,aw
7155,They Don't Werar Black Tie,1981,Hirszman,PU:,SU:,Ctxx,
7156,Maiorita Absoluta,1984,Hirszman,PN:,SU:,Documentary,aw
7157,"Hold Me, Thrill Me, Kiss Me",1992,Hirszman,PN:,SU:,Ctxx,aw
7158,Second Verdict,1964,Teague,Hitchcock,"Shamley, CBS",Suspense,
7159,The Lady in Red,1978,Teague,PN:,NewWorld,Drama,H
7160,Alligator,1981,Teague,PN:,SU:,Ctxx,aw
7161,Fighting Back,1983,Teague,PN:D.Constantine Conte,deLaurentiis,Drama,H
7162,Cujo,1983,Teague,PN:,Sunn Classic,Horror,(H)
7163,Jewel of the Nile,1985,Teague,Michael Douglas,Fox,Advt,H*
7164,Cat's Eye,1986,Teague,PN:,SU:,Horror,
7165,Navy Seals,1990,Teague,"PN:Brenda Feigen, Bernard Williams",Orion,Actn,
7166,7Up,1964,not Apted,PN:,Granada,Documentary,
7167,7+7,1971,Apted?,PN:,SU:,Documentary,
7168,21,1978,Apted,PN:,SU:,Documentary,
7169,Agatha,1979,Apted,"PN:Jarvis Astaire, Gavrik Loosey","Warners, First Artists",,H*
7170,Coal Miner's Daughter,1980,Apted,PN:,SU:,Bio-Pic,RE
7171,Tm:Continental Divide,1981,Apted,PN:Bob Larson,Universal,Comedy,H
7172,Gorky Park,1983,Apted,"PN:Gene Kirkwood, Howard W. Koch~jr.",Orion,Drama,H
7173,28 Up,1985,Apted,PN:,SU:,Documentary,
7174,Gorillas in the Mist,1988,Apted,Glimcher,SU:,Bio-Pic,
7175,35 Up,1992,Apted,PN:,SU:,Documentary,
7176,Thunderheart,1992,Apted,PN:,SU:,Drama,
7177,Incident at Ogala,1992,Apted,PN:Robert Redford,SU:,Documentary,
7178,Moving the Mountain,1994,Apted,PN:,SU:,Documentary,
7179,Blink,1994,Apted,PN:David Blocker,NewLine,Suspense,
7180,Nell,1995,Apted,PN:,SU:,Drama,
7181,Extreme Measures,1998,Apted,PN:Elizabeth Hurley,SU:,"Drama, RomCom",
7182,Lasky Jedne Plavovlasky,1965,Forman,PN:,Barrandov,Romantic,"AAN for, H*"
7183,Fireman's Ball,1967,Forman,PN:,Barrandov,Ctxx,aw
7184,Taking Off,1971,Forman,PN:,SU:,Ctxx,aw
7185,One Flew over the Cuckoo's Nest,1975,Forman,"PN:Saul Zaentz, Michael Douglas",U.A.,Drama,"AA, Z*"
7186,Hair,1979,Forman,"PN:Lester Persky, Michael Butler",U.A.. CIP,Musical,H*
7187,Ragtime,1981,Forman,deLaurentiis,"Paramount, Sunley",,H*
7188,Amadeus,1983,Forman,PN:Saul Zaentz,Paramount,Bio-Pic,"H**, AA, AA dir"
7189,Valmont,1989,Forman,PN:,SU:,Drama,
7190,The People vs. Larry Flynt,1996,Forman,PU:,SU:,Bio-Pic,aw
7191,Loving Couples,1964,Zetterling,PN:Rune Waldekranz,Sandrew,Drama,H*
7192,Scrubbers,1982,Zetterling,PN:,SU:,,
7193,Sunday in New York,1964,Tewkesbury,PN:Everett Freeman,"Seven Arts, MGM",,H*
7194,"Stay Away, Joe",1968,Tewkesbury,PN:,MGM,"Comedy,West",
7195,The Vampire of Dusseldorf,1964,Hossein,PN:,SU:,Ctxx,aw
7196,Liebe auf den ersten Blick,1992,Thome,PN:,Moana Film,"Romantic,Comedy",aw
7197,Tigerstreifenbaby wartet auf Tarzan,1998,Thome,PU:,SU:,"Romantic, Comedy",
7198,Three Nuts in Search of a Bolt,1964,Ty.Noonan,"Ty,Noonan, Ian McGlashan",Harlequin Int.,"Porn,Comedy",aw
7199,The Last Man on Earth,1964,Ragona,PN:Robert L. Lippert,AIP,ScFi,aw
7200,Stories of the revolution,1964,Alea,PU:,SU:,Historic,aw
7201,The Twelve Chairs,1966,Alea,PU:,SU:,Comedy,aw
7202,Death of a Bureaucrat,1967,Alea,PU:,SU:,CTxx,aw
7203,Memories of Underdevelopment,1968,Alea,PU:,SU:,Drama,aw
7204,The Last Supper,1970,Alea,PU:,SU:,CTxx,aw
7205,Strawberry and Chocolate,1994,Alea,PN:,SU:,Comedy,AAN
7206,Guantanamera,1996,Alea,PU:,SU:,Comedy,aw
7207,Change of Address,1964,Friedkin,Hitchcock,"Shamley, CBS",Suspense,
7208,The McGregor Affair,1964,Friedkin,Hitchcock,"Shamley, CBS",Suspense,
7209,Crimson Witness,1965,Friedkin,Hitchcock,"Shamley, CBS",Suspense,
7210,Thou Still Unravished Bride,1965,Friedkin,Hitchcock,"Shamley, CBS",Suspense,
7211,Off Season,1965,Friedkin,Hitchcock,"Shamley, CBS",Suspense,
7212,The Night They Raided Minsky's,1968,Friedkin,Norman~Lear,SU:,Comedy,aw
7213,The French Connection,1971,Friedkin,PN:Philip D'Antoni,Fox,"Suspense,Actn","H***, AA, AA dir, Z*"
7214,The Exorcist,1971,Friedkin,PN:Willaim Peter Blatty,Warners,Horror,"H*, AAN, AAN dir"
7215,The Boys in the Band,1976,Friedkin,"PN:Mart Crowley, Kenneth Utt, Dominick Dunne",Cinema Center,Drama,H*
7216,Sorcerer,1977,Friedkin,Friedkin,Universal,Actn,H
7217,Cruising,1980,Friedkin,PN:,Lorimar,,H
7218,Deal of the Century,1983,Friedkin,PN:Bud Yorkin,Warners,Comedy,H
7219,To Live and Die in LA,1985,Friedkin,PN:Irving H. Levin,SU:,Actn,RE****
7220,The Guardian,1990,Friedkin,PN:,SU:,Horror,
7221,Jade,1995,Friedkin,PU:,S:Paramount,CTxx,aw
7222,Dog Star Man,1964,Unknown20,PN:,SU:,Ctxx,NFR -H
7223,Santa Claus Captures the Martians,1964,Unknown20,Levine,,"ScFi, Comedy",aw
7224,Furia a Bahia pour OSS 117,1965,Hunebelle,PN:Paul Cadeac,Embassy,Actn,
7225,The Photographer and the Undertaker,1965,March,Hitchcock,"Shamley, CBS",Suspense,
7226,The Snow Devils,1965,Dawson,"PN:Joseph Fryd,","S:MGM, Mercury",ScFi,aw
7227,Tm:The Rip Off,1981,Dawson,PN:,SU:,Ctxx,aw
7228,Tm:The Stranger and the Gunfighter,1982,Dawson,PN:,SU:,Ctxx,aw
7229,"Tm:Yor, the Hunter from the Future",1983,Dawson,PN:,SU:,Advt,CG*
7230,The Sleeping Car Murders,1965,CostaGavras,PN:,SU:,Suspense,
7231,Un Homme de Trop,1967,CostaGavras,PN:,SU:,Ctxx,aw
7232,Z,1969,Costa-Gravas,PN:Jacques P\'errin,Reggane SL:\Fr,Suspense,"AA for, AAN dir, Palmdir, H***"
7233,L'Aveu,1970,CostaGavras,Robert Dorfman,Films Corona,Documentary,
7234,State of Siege,1972,CostaGavras,PN:,SU:,Ctxx,aw
7235,Special Section,1975,CostaGavras,PN:,SU:,Ctxx,aw
7236,Missing,1982,CostaGavras,"Guber, Peters",Universal,Drama,"H*, AAN"
7237,Hannah K,1983,CostaGavras,PN:,Paris,Drama,aw
7238,Betrayed,1988,CostaGavras,I.Winkler,MGM,Drama,
7239,Music Box,1989,CostaGavras,PN:,TriStar,Suspense,
7240,Mad City,1998,CostaGavras,PU:,SU:,Drama,
7241,Let's talk About Women,1965,Scola,PN:,SU:,Ctxx,aw
7242,The Devil in Love,1966,Scola,PN:,SU:,Ctxx,aw
7243,The Pizza Triangle,1970,Scola,PN:,,,
7244,We all Loved Each Other So Much,1975,Scola,PN:,SU:,Comedy,aw
7245,A Special Day,1977,Scola,Ponti,SU:,"Romantic,Drama",aw
7246,Passione d'Amore,1981,Scola,PN:,SU:,Ctxx,aw
7247,La Nuit de Varennes,1981,Scola,PN:,Columbia,"Drama, Historic",aw
7248,A Thousand Clowns,1965,F.Coe,F.Coe,U.A.,Comedy,"AAN, H*"
7249,A Star is Born,1976,Pierson,Peters,Warners,Musical,
7250,King of the Gypsies,1978,Pierson,PN:Anna Gross,"Paramount, deLaurentiis",Drama,H
7251,Tm:The Looking Glass War,1980,Pierson,PN:,SU:,CTxx,aw
7252,Somebody Has to Shoot the Picture,1989,Pierson,PN:,HBO,CTxx,aw
7253,Night Fever,965,Coleman,Hitchcock,"Shamley, CBS",Suspense,
7254,Point Blank,1967,Boorman,PN:,US,Actn,aw
7255,Hell in the Pacific,1969,Boorman,PN:,US,Actn,aw
7256,Leo the Last,1969,Boorman,PN:,U.A.,Romantic,aw
7257,Deliverance,1972,Boorman,Boorman,Warners,"Drama,Advt","AAN, AAN dir, Z*, H**"
7258,Exorcist II: The Heretic,1973,Boorman,"PN:Boorman, Richard Lederer",Warners,Fant,H
7259,Zardoz,1974,Boorman,PN:,SU:,Ctxx,aw
7260,Excalibur,1981,Boorman,PN:Boorman,"Warners,Orion",Fant,H
7261,The Emerald Forest,1985,Boorman,Boorman,Embassy,Actn,H**
7262,Hope and Glory,1987,Boorman,PN:,SU:,Actn,
7263,The General,1998,Boorman,PU:,SU:,"RomCom, Bio-Pic",
7264,The Crazy Quilt,1965,Korty,PN:,SU:,Ctxx,aw
7265,The Autobiography of Miss Jane Pittman,1965,Korty,PN:,SU:,Ctxx,aw
7266,The Bedford Incident,1965,J.B.Harris,J.B.Harris,Columbia,Drama,H***
7267,Tm:Some Call it Loving,1973,J.B.Harris,PN:James B. Harris,Pleasant Pastures,Fant,H
7268,Boiling Point,1993,J.B.Harris,"PN:Marc Frydman,",SU:,RomCom,
7269,Wally the Beard,1965,J.Brown,Hitchcock,"Shamley, CBS",Suspense,
7270,Portrait in Terror,1965,Jack~Hill,PN:,AIP,Horror,aw
7271,The Switchblade Sisters,1975,Jack~Hill,PU:,SU:,Horror,aw
7272,The Emigrants,1971,Troell,PN:,SU:,Ctxx,aw
7273,Zandy's Bride,1974,Troell,PN:,SU:,Ctxx,aw
7274,Bang!,1977,Troell,PN:,SU:,Ctxx,aw
7275,The Flight of the Eagle,1978,Troell,PN:,SU:,Ctxx,aw
7276,Hurricane,1979,Troell,Lorenzo Semple~jr.,deLaurentiis,Drama,H
7277,Up the Junction,1965,Loach,PN:,SU:,Ctxx,
7278,Cathy Come Home,1966,Loach,PN:,SU:,Ctxx,
7279,Poor Cow,1967,Loach,PN:,SU:,Drama,
7280,Kes,1969,Loach,PN:,SU:,Ctxx,
7281,Singing the Blues in Red,1986,Loach,PN:,SU:,Ctxx,
7282,The Hidden Agenda,1990,Loach,PN:,SU:,"Drama,Documentary",GP
7283,RiffRaff,1991,Loach,PN:,Fine Line Features,Comedy,
7284,Raining Stones,1993,Loach,PN:,SU:,"Documentary, Drama",
7285,"Ladybird, Ladybird",1994,Loach,PN:,SU:,"Bio-Pic, Drama",
7286,Land and Freedom,1996,Loach,PU:,SU:,Drama,aw
7287,Carla's Song,1998,Loach,PU:,SU:,Romantic,
7288,My Name is Joe,1999,Loach,PU:,SU:,Drama,
7289,Licensed to Kill,1965,Shonteff,PN:Estelle E. Richmond,S:Alistair,"Suspense, Comedy",
7290,Fists in the Pocket,1965,Bellocchio,PN:,SU:,Drama,aw
7291,China is Near,1967,Bellocchio,PN:,SU:,Comedy,
7292,In the Name of the Father,1971,Bellocchio,PN:,SU:,Drama,aw
7293,Salto nel Vuato,1979,Bellocchio,PN:,SU:,Ctxx,aw
7294,Henry IV,1984,Bellocchio,PU:,SU:,Drama,
7295,Devil in the Flesh,1987,Bellocchio,PN:,SU:,"Drama,Porn",
7296,The Conviction,1994,Bellocchio,PN:,SU:,Drama,
7297,The Pince of Homburg,1997,Bellocchio,PU:,SU:,CTxx,aw
7298,Sister of Satan,1965,Reeves,PN:,SL:\It,Horror,aw
7299,The Sorcerers,1967,Reeves,PN:,SU:,Horror,aw
7300,Witchfinder General,1968,Reeves,PN:Arnold Miller,"Tigon, Houshin",Horror,aw
7301,The Ugly Dachshund,1965,Tokar,PN:Winston Hibler,Disney,Romantic,H*
7302,The Happiest Millionaire,1967,Tokar,Bill Anderson,S:Disney,"Comedy, Musical",H
7303,Tm:Apple Dumpling Gang,1975,Tokar,PN:Bill Anderson,Disney,"West,Romantic",H
7304,Tm:Snowball Express,1975,Tokar,PN:Ron Miller,Disney,Comedy,H
7305,Tm:Cat from Outer Space,1978,Tokar,PN:Ron Miller,Disney,Fant,H
7306,The Eleanor Roosevelt Story,1965,R.Kaplan,PN:,SU:,Documentary,AA
7307,Tammy and the Millionaire,1969,S.Miller,PU:,S:Universal,Romantic,H
7308,Kizino Kizi,1965,Taniguchi,PN:Reuben Berkovitch,"Japan, AIP",Comedy,
7309,The Great Sioux Massacre,1965,Salkow,PN:Leon Fromkess,Columbia,West,aw
7310,Orgy of the Dead,1965,Apostoloff,Apostoloff,FOG,"Porn,Horror",aw
7311,Blood on the Land,1965,Georgiadis,PN:,SU:,Drama,aw
7312,Menino de Engenho,1965,Lima,PN:,SU:,Drama,aw
7313,Two on a Guillotine,1965,Conrad,PN:Conrad,Warners,Horror,aw
7314,Thunder in Dixie,1965,Naud,Naud,MPI,Actn,aw
7315,Hot Rod Hullabaloo,1966,Naud,"PN:Martin T. Low, Naud",Allied Artists,Actn,aw
7316,La Fayette,1965,Dreville,PN:,SU:,Ctxx,aw
7317,The Human Duplicators,1965,,PU:,SU:,ScFi,
7318,Until the Ship Sails,1966,Damianos,PN:,SU:,Ctxx,aw
7319,Endless Summer,1966,Br.Brown,Br.Brown,Columbia,Romantic,H
7320,Bruce Brown's The Endless Summer II,1966,Br.Brown,Br.Brown,Columbia,Romantic,
7321,Beau Geste,1966,Heyes,PN:Walter Seltzer,Universal,Actn,H
7322,One of Our Spies is Missing,1966,Hallenbeck,PN:Boris Ingster,MGM,Actn,aw
7323,"Munster, Go Home",1966,Bellamy,"PN:Joe Connelly, Bob Mosker",Universal,"Comedy,Horror",aw
7324,Flood!,1976,Bellamy,I.Allen,SU:,Disa,aw
7325,Fire!,1977,Bellamy,I.Allen,SU:,Disa,aw
7326,Trace of Stones,1966,Beyer,PU:,SU:,West,
7327,The Taming of the Shrew,1966,Zefferelli,PN:,Columbia,Comedy,H*
7328,Romeo and Juliet,1968,Zeffirelli,deLaurentiis,Paramount,"Drama,Romantic","H*, AAN, AAn dir"
7329,Brother Sun and Sister Moon,1973,Zefferelli,PN:Luciano Perugia,Paramount,Bio-Pic,H
7330,The Champ,1979,Zefferelli,PN:,SU:,Ctxx,aw
7331,Endless Love,1981,Zeffirelli,PN:Keith Barish,Plygram,Romantic,H
7332,La Traviata,1983,Zefferelli,PN:,SU:,Musical,aw
7333,Otello,1986,Zefferelli,"PN:John Thompson, Fulvio Lucisano","Cannon, RAI",Musical,H*
7334,Hamlet,1990,Zefferelli,PN:Dyson Lovell,Shepperton,Drama,
7335,Jane Eyre,1996,Zefferelli,PN:Dyson Lovell,S:Majestic SD: Miramax,Drama,
7336,Tea with Mussolini,1998,Zefferelli,PU:,SU:,"Historic, romt",
7337,Lord Love a Duck,1966,G.Axelrod,Axelrod,SU:,Comedy,
7338,The Secret Life of an American Wife,1968,G.Axelrod,Axelrod,SU:,Comedy,
7339,Tm:Rage,1966,Gazcon,Gazcon,"Columbia,Cinematografico Jalisco",Drama,H
7340,"Sweet Love, Bitter",1966,Danska,PN:,SU:,Ctxx,aw
7341,"I Love You, Alice B. Toklas!",1968,Averback,PN:,SU:,Comedy,
7342,Chamber of Horrors,1970,Averback,Averback,Warners,Horror,
7343,Suppose They Gave a War,1970,Averback,PN:Fred Engel,ABC,Comedy,H
7344,Where the Boys Are,1984,Averback,PN:,ITC,Comedy,H
7345,Tiempo de Morir,1989,Triana,PN:,SU:,Drama,aw
7346,The Shooting,1966,J.Hellman,PN:Jack Nicholson,Santa Clara,West,H
7347,Tm:Promises in the Dark,1980,J.Hellman,J.Hellman,"Warners, Orion",Drama,H
7348,Closely Watched Trains,1966,Menzel,PN:,Czech,,AA for
7349,Report on the Party and its Guests,1966,Nemec,PN:,SU:,Ctxx,aw
7350,Oratorio for Prague,1966,Nemec,PN:,SU:,CTxx,
7351,Martyrs of Love,1973,Nemec,PN:,SU:,Ctxx,aw
7352,Czeslaw Milosz: the Poet Remebers,1989,Nemec,PN:,SU:,Documentary,
7353,In the Heat of Royal Love,1991,Nemec,PN:,SU:,Ctxx,aw
7354,One Spy Too Many,1966,Sargent,PN:Victor,MGM,Actn,aw
7355,The Spy in the Green Hat,1967,Sargent,PN:Victor,MGM,Actn,aw
7356,"Tm:Taking of Pelham 1, 2, 3",1974,Sargent,PN:,SU:,CTxx,aw
7357,Tm:Hustling,1975,Sargent,PN:,SU:,CTxx,aw
7358,MacArthur,1977,Sargent,"R.Zanuck, D.Brown",Universal,Bio-Pic,H*
7359,Tm:Goldengirl,1979,Sargent,PN:,SU:,CTxx,CG**
7360,Tm:Coast-to-Coast,1980,Sargent,PN:Terry Carr,Paramount,Comedy,H
7361,Crime and Punishment,1998,Sargent,Robert Halmi~sr.,S:NBC:,TV,
7362,The Barrier,1966,Skolimowski,PN:,SU:,CTxx,aw
7363,The Departure,1967,Skolimowski,PN:,SU:,CTxx,aw
7364,Habds Up,1967,Skolimowski,PN:,SU:,CTxx,aw
7365,The Adventures of Gerard,1970,Skolimowski,PN:,SU:,CTxx,aw
7366,Deep End,1971,Skolimowski,PN:,SU:,CTxx,aw
7367,"King, Queen, Knave",1972,Skolimowski,PN:,SU:,CTxx,aw
7368,The Shout,1978,Skolimowski,PN:,SU:,CTxx,aw
7369,Moonlighting,1981,Skolimowski,"PN:Mark Skioros, Michael White, Skolimowski",Universal,Drama,aw
7370,Godzilla vs. the Sea Monster,1966,Fukuda,Tanaka,Toho,ScFi,aw
7371,Son of Godzilla,1968,Fukuda,Tanaka,"Toho,AIP",ScFi,aw
7372,Godzilla on Monster Island,1971,Fukuda,PN:,Toho,ScFi,aw
7373,Godzilla vs. Megalon,1973,Fukuda,Tanaka,Toho,ScFi,aw
7374,Godzilla vs. the Cosmic Monster,1974,Fukuda,Tanaka,Toho,ScFi,aw
